iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
AFG,Asia,Afghanistan,2020-02-24,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-25,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-26,41128772,1,1,0.143,,0,0,0.024,0.024,0.003,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-27,41128772,1,0,0.143,,0,0,0.024,0,0.003,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-28,41128772,1,0,0.143,,0,0,0.024,0,0.003,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-29,41128772,1,0,0.143,,0,0,0.024,0,0.003,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-01,41128772,1,0,0.143,,0,0,0.024,0,0.003,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-02,41128772,1,0,0.143,,0,0,0.024,0,0.003,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-03,41128772,1,0,0.143,,0,0,0.024,0,0.003,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-04,41128772,1,0,0,,0,0,0.024,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-05,41128772,1,0,0,,0,0,0.024,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-06,41128772,1,0,0,,0,0,0.024,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-07,41128772,1,0,0,,0,0,0.024,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-08,41128772,1,0,0,,0,0,0.024,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-09,41128772,4,3,0.429,,0,0,0.097,0.073,0.01,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-10,41128772,4,0,0.429,,0,0,0.097,0,0.01,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-11,41128772,4,0,0.429,,0,0,0.097,0,0.01,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-12,41128772,7,3,0.857,,0,0,0.17,0.073,0.021,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-13,41128772,7,0,0.857,,0,0,0.17,0,0.021,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-14,41128772,7,0,0.857,,0,0,0.17,0,0.021,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-15,41128772,7,0,0.857,,0,0,0.17,0,0.021,,0,0,,,,,,,,,
